Title,Status,Rating,Genre,Image URL
Omniscient Reader’s Viewpoint (Web Novel KR),Completed,4.8 (563),"['Action', 'Adventure', 'Drama', 'Fantasy', 'Comedy', 'Psychological']",https://static.lightnovelhub.org/bookcover/300x400/00265-omniscient-readers-viewpoint-novel.jpg
The Legendary Mechanic (WN),Completed,4.8 (405),"['Action', 'Adventure', 'Mature', 'Comedy', 'Supernatural', 'Sci-fi', 'Mecha']",https://static.lightnovelhub.org/bookcover/300x400/00245-the-legendary-mechanic-novel.jpg
I’m Really Not The Demon God’s Lackey,Completed,4.8 (115),"['Fantasy', 'Comedy', 'Mystery', 'Supernatural']",https://static.lightnovelhub.org/bookcover/300x400/01092-im-really-not-the-demon-gods-lackey.jpg
Kill the Sun,Ongoing,4.8 (102),"['Action', 'Adventure', 'Fantasy', 'Tragedy', 'Mystery']",https://static.lightnovelhub.org/bookcover/300x400/01646-kill-the-sun.jpg
My Whole Family Are Villain,Completed,4.8 (68),"['Drama', 'Romance', 'Comedy', 'Supernatural', 'School Life', 'Josei', 'Shoujo']",https://static.lightnovelhub.org/bookcover/300x400/00825-my-whole-family-are-villain.jpg
The Rebirth of the Malicious Empress of Military Lineage,Completed,4.8 (67),"['Martial Arts', 'Mature', 'Romance', 'Josei', 'Historical']",https://static.lightnovelhub.org/bookcover/300x400/00163-the-rebirth-of-the-malicious-empress-of-military-lineage.jpg
I Alone Level-Up (Web Novel KR),Completed,4.7 (256),"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Shounen']",https://static.lightnovelhub.org/bookcover/300x400/00236-i-alone-level-up-solo-leveling-ln.jpg
Chrysalis,Ongoing,4.7 (120),['Fantasy'],https://static.lightnovelhub.org/bookcover/300x400/00552-chrysalis.jpg
Throne of Magical Arcana,Completed,4.7 (99),"['Action', 'Adventure', 'Fantasy', 'Xuanhuan', 'Mystery']",https://static.lightnovelhub.org/bookcover/300x400/00447-throne-of-magical-arcana.jpg
Lucia,Completed,4.7 (83),"['Drama', 'Fantasy', 'Mature', 'Romance', 'Slice of Life', 'Supernatural', 'Josei', 'Adult', 'Smut']",https://static.lightnovelhub.org/bookcover/300x400/00281-lucia.jpg
I Was Mistaken as a Monstrous Genius Actor,Ongoing,4.7 (71),"['Drama', 'Comedy', 'Slice of Life']",https://static.lightnovelhub.org/bookcover/300x400/01655-i-was-mistaken-as-a-monstrous-genius-actor.jpg
